Date and Time,Temperature,ECG,GSR,HR
2024-07-06 19:15:12.229400+00:00,81.37,0.0782,0.0508,71.26
2024-07-06 19:15:09.131871+00:00,81.59,0.0782,0.0489,71.07
2024-07-06 19:15:06.023794+00:00,81.59,0.0772,0.0469,71.26
2024-07-06 19:15:02.928511+00:00,81.55,0.0802,0.043,24.14
2024-07-06 19:14:59.831274+00:00,81.7,0.0811,0.045,20.919999999999998
2024-07-06 19:14:56.741152+00:00,81.66,0.0596,0.0528,0.0
2024-07-06 19:14:53.650784+00:00,82.02,0.0577,0.045,39.1
2024-07-06 19:14:50.557838+00:00,81.55,0.0635,0.0508,0.0
2024-07-06 19:14:47.457822+00:00,95.41,0.0606,0.0479,0.0
2024-07-06 19:14:44.360600+00:00,95.56,0.0792,0.0499,9.969999999999999
2024-07-06 19:14:41.264898+00:00,95.63,0.0792,0.043,56.11000000000001
2024-07-06 19:14:38.169963+00:00,95.99,0.0557,0.0401,70.38
2024-07-06 19:14:35.072462+00:00,96.24,0.0802,0.0459,71.55
2024-07-06 19:14:31.976391+00:00,96.75,0.0782,0.0469,71.16
2024-07-06 19:14:28.880946+00:00,96.24,0.0831,0.045,70.97
2024-07-06 19:14:25.786869+00:00,94.8,0.0782,0.0616,54.55
2024-07-06 19:14:22.690721+00:00,92.39,0.0714,0.0587,3.42
2024-07-06 19:14:19.596555+00:00,81.66,0.0577,0.0528,0.0
2024-07-06 19:14:16.500411+00:00,81.7,0.0547,0.0577,71.26
2024-07-06 19:14:13.406543+00:00,81.73,0.0508,0.0459,71.07
2024-07-06 19:14:10.308041+00:00,81.73,0.0792,0.045,55.82
2024-07-06 19:14:07.210692+00:00,81.59,0.0743,0.045,71.07
2024-07-06 19:14:04.113425+00:00,92.03,0.0547,0.0538,71.26
2024-07-06 19:14:01.007387+00:00,95.7,0.0753,0.0489,0.0
2024-07-06 19:13:57.906992+00:00,94.05,0.0753,0.0567,71.16
2024-07-06 19:13:54.811148+00:00,93.43,0.0772,0.044,71.36
2024-07-06 19:13:51.716891+00:00,90.95,0.0782,0.0401,71.07
2024-07-06 19:13:48.623733+00:00,81.84,0.0743,0.0753,71.55
2024-07-06 19:13:45.530106+00:00,81.66,0.0753,0.0547,71.07
2024-07-06 19:13:42.436834+00:00,81.48,0.0782,0.042,15.25
2024-07-06 19:13:39.340598+00:00,81.81,0.0743,0.0596,71.26
2024-07-06 19:13:36.243816+00:00,81.91,0.0714,0.0831,51.81
2024-07-06 19:13:33.145076+00:00,85.44,0.0743,0.0518,3.1300000000000003
2024-07-06 19:13:30.049235+00:00,88.25,0.0743,0.043,44.28
2024-07-06 19:13:26.952642+00:00,88.07,0.0772,0.085,70.48
2024-07-06 19:13:23.860026+00:00,88.57,0.0782,0.0577,13.29
2024-07-06 19:13:20.765331+00:00,88.18,0.0762,0.0411,58.26
2024-07-06 19:13:17.664840+00:00,81.81,0.0802,0.0899,71.16
2024-07-06 19:13:14.570290+00:00,89.8,0.0762,0.042,0.0
2024-07-06 19:13:11.473081+00:00,89.33,0.0782,0.0626,70.77
2024-07-06 19:13:08.379077+00:00,92.57,0.0723,0.0577,10.07
2024-07-06 19:13:05.289051+00:00,97.68,0.0704,0.0401,59.53000000000001
2024-07-06 19:13:02.192588+00:00,108.01,0.0655,0.0547,32.06
2024-07-06 19:12:59.097901+00:00,108.88,0.0733,0.042,53.86
2024-07-06 19:12:56.005439+00:00,97.68,0.0753,0.0577,47.31
2024-07-06 19:12:52.909210+00:00,92.5,0.0733,0.043,29.81
2024-07-06 19:12:49.812708+00:00,84.04,0.0762,0.089,70.97
2024-07-06 19:12:46.717891+00:00,81.55,0.0723,0.0381,15.540000000000001
2024-07-06 19:12:43.624202+00:00,81.7,0.0772,0.0723,70.77
2024-07-06 19:12:40.523487+00:00,81.59,0.0674,0.0518,32.65
2024-07-06 19:12:37.429295+00:00,81.59,0.0762,0.043,55.230000000000004
2024-07-06 19:12:34.334283+00:00,81.45,0.0704,0.0547,46.73
2024-07-06 19:12:31.237559+00:00,81.66,0.0753,0.0401,45.65
2024-07-06 19:12:28.141308+00:00,81.7,0.0733,0.0528,47.61
2024-07-06 19:12:25.043900+00:00,81.55,0.0772,0.045,31.480000000000004
2024-07-06 19:12:21.944711+00:00,81.7,0.0782,0.0567,70.48
2024-07-06 19:12:18.843372+00:00,81.73,0.0704,0.0499,29.23
2024-07-06 19:12:15.747601+00:00,81.48,0.0743,0.043,49.46
2024-07-06 19:12:12.650494+00:00,81.84,0.0753,0.0528,45.65
2024-07-06 19:12:09.555378+00:00,81.66,0.0723,0.0411,27.76
2024-07-06 19:12:06.459936+00:00,81.66,0.0762,0.044,63.05
2024-07-06 19:12:03.361163+00:00,81.34,0.0802,0.0547,54.059999999999995
2024-07-06 19:12:00.260489+00:00,81.48,0.0723,0.0381,29.23
2024-07-06 19:11:57.167074+00:00,81.73,0.0762,0.0411,53.18000000000001
2024-07-06 19:11:54.071178+00:00,81.48,0.0782,0.0753,70.87
2024-07-06 19:11:50.976358+00:00,81.81,0.0762,0.0557,44.09
2024-07-06 19:11:47.879236+00:00,81.48,0.0665,0.0557,27.860000000000003
2024-07-06 19:11:44.783670+00:00,81.55,0.0733,0.042,18.57
2024-07-06 19:11:41.693298+00:00,81.55,0.0762,0.045,30.79
2024-07-06 19:11:38.599968+00:00,81.55,0.0733,0.043,54.64
2024-07-06 19:11:35.500652+00:00,81.55,0.0704,0.0411,41.94
2024-07-06 19:11:32.406735+00:00,81.66,0.0782,0.0401,65.0
2024-07-06 19:11:29.315779+00:00,81.55,0.0772,0.0499,69.99
2024-07-06 19:11:26.220426+00:00,81.66,0.0733,0.044,70.77
2024-07-06 19:11:23.125685+00:00,81.7,0.0762,0.0411,71.07
2024-07-06 19:11:20.029416+00:00,81.45,0.0743,0.0411,52.1
2024-07-06 19:11:16.933324+00:00,81.59,0.0753,0.042,41.15
2024-07-06 19:11:13.838190+00:00,81.7,0.0557,0.043,0.0
2024-07-06 19:11:10.743846+00:00,81.27,0.0762,0.0665,54.15
2024-07-06 19:11:07.646137+00:00,81.37,0.0723,0.0831,65.49000000000001
2024-07-06 19:11:04.551022+00:00,81.37,0.0811,0.0948,71.07
2024-07-06 19:11:01.456504+00:00,81.37,0.0587,0.0391,3.42
2024-07-06 19:10:58.361158+00:00,81.27,0.0518,0.0401,0.2
2024-07-06 19:10:55.267694+00:00,81.55,0.0802,0.043,70.97
2024-07-06 19:10:52.173285+00:00,81.66,0.0547,0.045,0.1
